p1-cat0             p2-cat0             p1-cat1             p2-cat1             p1-cat2             p2-cat2             p1-cat3             p2-cat3             p1-cat4             p2-cat4             
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.059158000         0.000201536         0.000004718         0.000402803         0.000000132         0.000353129         0.062838700         0.000190767         0.027507800         0.000130419         
0.059158000         0.000201536         0.000004718         0.000402803         0.000000132         0.000353129         0.062838700         0.000190767         0.027507800         0.000130419         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059495700         0.000212924         0.051621800         0.000267277         0.048926100         0.000319352         0.066265000         0.000210047         0.035591200         0.000121722         
0.059158000         0.000201536         0.000004718         0.000402803         0.000000132         0.000353129         0.062838700         0.000190767         0.027507800         0.000130419         
0.059158000         0.000201536         0.000004718         0.000402803         0.000000132         0.000353129         0.062838700         0.000190767         0.027507800         0.000130419         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.057684600         0.000172324         0.084181500         0.000333071         0.050246200         0.000354634         0.070904500         0.000211419         0.045282300         0.000126555         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
0.059044800         0.000231576         0.114683000         0.000452077         0.117913000         0.000498831         0.100000000         0.000500000         0.034388600         0.000122490         
