Scale_ID        s0_MS         Scale_MS      Scale_ID_SUp    s0_MS_SUp     Scale_MS_SUp   Scale_ID_SDw  s0_MS_SDw    Scale_MS_SDw Scale_CB     Scale_CB_err
-0.00068000     0.05135000     0.00162500    0.00011505    0.02574152    0.00077495    0.00011505    0.02574153    0.00077495    -1    -1
-0.00068000    -0.02533750     0.00461000    0.00011505    0.01054629    0.00036592    0.00011505    0.01054629    0.00036592    -1    -1
-0.00036150    -0.01140000     0.00291750    0.00005599    0.01043270    0.00047919    0.00005599    0.01043270    0.00047919    -1    -1
-0.00036150     0.00866667     0.00197625    0.00005599    0.01063142    0.00056230    0.00005599    0.01063143    0.00056230    -1    -1
-0.00123409    -0.02008750     0.00168875    0.00002353    0.01505720    0.00067645    0.00002353    0.01505720    0.00067645    -1    -1
-0.00123409    -0.01337500     0.00142375    0.00002353    0.00393470    0.00032610    0.00002353    0.00393470    0.00032610    -1    -1
-0.00143818    -0.01577500    -0.00269800    0.00003070    0.00900864    0.00032014    0.00003069    0.00900864    0.00032014    -1    -1
-0.00143818    -0.01863750    -0.00364875    0.00003070    0.00847057    0.00033903    0.00003069    0.00847056    0.00033903    -1    -1
-0.00125000     0.05973750    -0.00702375    0.00003451    0.01090146    0.00048693    0.00003451    0.01090146    0.00048693    -1    -1
-0.00125000     0.00861250    -0.00538875    0.00003451    0.00756599    0.00044649    0.00003451    0.00756599    0.00044649    -1    -1
-0.00143955     0.01481250    -0.00206333    0.00005016    0.01205821    0.00031581    0.00005016    0.01205821    0.00031582    -1    -1
-0.00143955     0.00284375    -0.00224167    0.00005016    0.00578047    0.00029803    0.00005016    0.00578047    0.00029803    -1    -1
-0.00155236    -0.00852500     0.00197625    0.00006151    0.01407145    0.00047115    0.00006151    0.01407145    0.00047115    -1    -1
-0.00155236     0.01427500    -0.00186000    0.00006151    0.01781160    0.00064013    0.00006151    0.01781160    0.00064013    -1    -1
-0.00066727     0.01677500     0.00242000    0.00004271    0.01836033    0.00069017    0.00004271    0.01836033    0.00069017    -1    -1
-0.00066727    -0.00565000    -0.00193375    0.00004271    0.00658720    0.00037969    0.00004271    0.00658720    0.00037969    -1    -1
-0.00055546    -0.02181250     0.00200625    0.00003980    0.00712122    0.00005792    0.00003980    0.00712122    0.00005792    -1    -1
-0.00055546    -0.03167500    -0.00092500    0.00003980    0.00608209    0.00030743    0.00003980    0.00608209    0.00030743    -1    -1
-0.00069500    -0.02060000     0.00202125    0.00003826    0.00277489    0.00012234    0.00003826    0.00277489    0.00012234    -1    -1
-0.00069500    -0.03067500    -0.00058500    0.00003826    0.00545899    0.00019997    0.00003826    0.00545900    0.00019997    -1    -1
-0.00048409     0.00266250     0.00232875    0.00003315    0.01499193    0.00039412    0.00003315    0.01499193    0.00039412    -1    -1
-0.00048409     0.00575000    -0.00185375    0.00003315    0.00780665    0.00021396    0.00003315    0.00780665    0.00021396    -1    -1
-0.00073046    -0.04628333     0.00197167    0.00011001    0.01985121    0.00052161    0.00011001    0.01985122    0.00052161    -1    -1
-0.00073046     0.01776750    -0.00274600    0.00011001    0.00790335    0.00017866    0.00011001    0.00790335    0.00017866    -1    -1
-0.00030282    -0.04241250    -0.00022000    0.00005161    0.01656753    0.00068317    0.00005161    0.01656753    0.00068317    -1    -1
-0.00030282    -0.02371250    -0.00158250    0.00005161    0.00218900    0.00018670    0.00005161    0.00218900    0.00018670    -1    -1
-0.00037255     0.04363750    -0.00074125    0.00005743    0.00421150    0.00019661    0.00005743    0.00421150    0.00019661    -1    -1
-0.00037255     0.02495000    -0.00238125    0.00005743    0.00990107    0.00047445    0.00005743    0.00990107    0.00047445    -1    -1
-0.00087718    -0.04741250     0.00201463    0.00006160    0.03542168    0.00111562    0.00006160    0.03542168    0.00111562    -1    -1
-0.00087718    -0.00382500    -0.00017625    0.00006160    0.01087454    0.00042521    0.00006160    0.01087454    0.00042521    -1    -1
-0.00080000     0.00461250    -0.00032000    0.00005481    0.01870265    0.00066984    0.00005481    0.01870265    0.00066984    -1    -1
-0.00080000     0.00815750     0.00061000    0.00005481    0.01298627    0.00052217    0.00005481    0.01298627    0.00052217    -1    -1
-0.00036227    -0.00378750    -0.00019500    0.00005101    0.01173277    0.00051880    0.00005101    0.01173277    0.00051880    -1    -1
-0.00036227    -0.00377500    -0.00043125    0.00005101    0.00981201    0.00043698    0.00005101    0.00981201    0.00043698    -1    -1
-0.00042546     0.02863750    -0.00100125    0.00008991    0.02091024    0.00083909    0.00008991    0.02091024    0.00083909    -1    -1
-0.00042546     0.00701250    -0.00071125    0.00008991    0.01152261    0.00048887    0.00008991    0.01152261    0.00048887    -1    -1
